sku,name,category,price,installable,normRef,riskTag,stockNearby
LM-90357484,Detector Óptico Segurimax 12/24V,Segurança,83.98,true,,cognition,13
LM-90422290,Detector de Gás Natural e GLP DNI,Segurança,159.90,true,,cognition,39
LM-1571134021,Alarme Audiovisual PCD Help,Segurança,267.91,true,,emergency,50
LM-1568038401,Botão de Pânico Ipec NF,Segurança,38.32,true,,emergency,12
LM-1571834172,Campainha X9 com Câmera,Segurança,107.91,false,,home_security,44
LM-90663020,Vídeo Porteiro Multilaser Liv,Segurança,507.32,true,,home_security,17
LM-91947751,Vídeo Porteiro Intelbras Allo WT7 Lite,Segurança,2632.96,true,,home_security,13
LM-90861610,Fechadura Elsys ESF-DE4000B,Segurança,807.90,true,,home_security,44
LM-92340906,Fechadura Yale Lia,Segurança,999.90,true,,home_security,19
LM-91065310,Fechadura Intelbras IFR 7001,Segurança,1599.00,true,,home_security,15
LM-92347206,Fechadura Intelbras MFV3000,Segurança,1199.90,true,,home_security,46
LM-1571730862,Fechadura AGL N12,Segurança,259.90,true,,home_security,13
LM-91806974,Câmera Steck Mini Wi‑Fi,Segurança,199.90,false,,caregiver_monitoring,30
LM-92429603,Câmera Steck 360°,Segurança,204.90,false,,caregiver_monitoring,33
LM-91819994,Câmera Intelbras IM3C,Segurança,349.90,false,,caregiver_monitoring,12
LM-91998130,Sensor de Porta e Janela AGL,Segurança,164.90,false,,home_security,44
LM-91047845,Sensor de Movimento Intelbras ISM 1001,Segurança,181.28,false,,home_security,16
LM-1567399390,Purificador LG PuriCare 360°,Ambiente,3231.00,false,,environment,27
LM-1567399391,Purificador LG PuriCare com 2 Filtros,Ambiente,4929.00,false,,environment,28
LM-91883820,"Umidificador Equation 4,5L",Ambiente,199.90,false,,environment,42
LM-92451422,Umidificador Midea Master Connect 6L,Ambiente,358.16,false,,environment,40
LM-92110480,Desumidificador Force Line,Ambiente,229.90,false,,environment,13
LM-89662804,Desumidificador Komeco AirLife,Ambiente,263.91,false,,environment,37
LM-92206233,Desumidificador Compact Ion Desidrat,Ambiente,849.90,false,,environment,31
LM-89304901,Desumidificador Cristal Thermomatic,Ambiente,187.59,false,,environment,23
LM-92210503,Desumidificador Mini Thermomatic,Ambiente,749.00,false,,environment,37
LM-1572545136,Termo-Higrômetro com Relógio,Casa segura,22.47,false,,environment,27
LM-1570547932,Sensor Tuya Zigbee de Temperatura/Umidade,Segurança,89.88,false,,environment,15
LM-1567144927,Termo-Higrômetro Tomate PD003,Casa segura,67.90,false,,environment,10
LM-86693670,Antimofo Eletrônico DNI,Casa segura,95.81,false,,environment,41
LM-92182335,"Climatizador Midea 4,5L",Casa segura,489.90,false,,environment,36
LM-91782026,Climatizador Symphony 8L,Casa segura,1387.33,false,,environment,10
LM-92331435,Ventilador Torre Bladeless Equation,Casa segura,1199.00,false,,environment,19
LM-92332541,Ventilador Torre Spirit Sky,Casa segura,749.90,false,,environment,18
LM-91796145,Ventilador de Parede Equation,Casa segura,349.90,true,,environment,25
LM-92186010,Ventilador de Teto Inspire Nano Eco,Casa segura,499.90,false,,environment,21
LM-92311205,Ar-Condicionado TCL TPRO Wi‑Fi,Casa segura,2349.00,false,,environment,43
LM-1571316141,"Porta-Comprimidos 7 Dias, Manhã/Noite",Casa segura,26.98,false,,medication_adherence,48
LM-1572870611,Timer Digital com Alarme,Segurança,15.49,false,,medication_adherence,44
LM-92133412,Carrinho Organizador Oikos,Casa segura,189.90,false,,daily_living,26
LM-1572824421,Poltrona Lift Rover,Casa segura,4414.50,false,,mobility,20
LM-1572097300,Poltrona Imperial com Lift,Casa segura,5416.25,false,,mobility,34
LM-1571813912,Mesa Auxiliar Regulável Artetube,Casa segura,350.11,false,,daily_living,38
LM-91790293,Bandeja com Pés Oikos,Casa segura,164.90,false,,daily_living,36
LM-1572696461,Abridor Multiuso Naxos,Casa segura,12.70,false,,dexterity,21
LM-1567461426,Maçaneta Alavanca Aliança,Casa segura,26.90,true,,dexterity,30
LM-87980025,Fechadura Arouca Idea com Alavanca,Segurança,89.90,true,,dexterity,21
LM-91709373,Purificador de Água Consul CPB33AB,Ambiente,599.90,false,,hydration,50
